feature,dtype,pct_missing,example_values
NAME_CONTRACT_TYPE,category,0.0,"['Cash loans', 'Cash loans', 'Revolving loans']"
CODE_GENDER,object,0.0,"['M', 'F', 'M']"
FLAG_OWN_CAR,category,0.0,"['N', 'N', 'Y']"
FLAG_OWN_REALTY,category,0.0,"['Y', 'N', 'Y']"
CNT_CHILDREN,int8,0.0,"[0, 0, 0]"
AMT_INCOME_TOTAL,float32,0.0,"[202500.0, 270000.0, 67500.0]"
AMT_CREDIT,float32,0.0,"[406597.5, 1293502.5, 135000.0]"
AMT_ANNUITY,float32,0.01,"[24700.5, 35698.5, 6750.0]"
AMT_GOODS_PRICE,float32,0.08,"[351000.0, 1129500.0, 135000.0]"
NAME_TYPE_SUITE,category,0.62,"['Unaccompanied', 'Family', 'Unaccompanied']"
NAME_INCOME_TYPE,object,0.0,"['Working', 'State servant', 'Working']"
NAME_EDUCATION_TYPE,category,0.0,"['Secondary / secondary special', 'Higher education', 'Secondary / secondary special']"
NAME_FAMILY_STATUS,object,0.0,"['Single / not married', 'Married', 'Single / not married']"
NAME_HOUSING_TYPE,category,0.0,"['House / apartment', 'House / apartment', 'House / apartment']"
REGION_POPULATION_RELATIVE,float16,0.0,"[0.018798828125, 0.0035419464111328125, 0.01003265380859375]"
DAYS_BIRTH,int16,0.0,"[-9461, -16765, -19046]"
DAYS_EMPLOYED,float64,18.15,"[-637.0, -1188.0, -225.0]"
DAYS_REGISTRATION,float16,0.0,"[-3648.0, -1186.0, -4260.0]"
DAYS_ID_PUBLISH,int16,0.0,"[-2120, -291, -2531]"
OWN_CAR_AGE,float16,66.03,"[26.0, 17.0, 8.0]"
FLAG_MOBIL,int8,0.0,"[1, 1, 1]"
FLAG_EMP_PHONE,int8,0.0,"[1, 1, 1]"
FLAG_WORK_PHONE,int8,0.0,"[0, 0, 1]"
FLAG_CONT_MOBILE,int8,0.0,"[1, 1, 1]"
FLAG_PHONE,int8,0.0,"[1, 1, 1]"
FLAG_EMAIL,int8,0.0,"[0, 0, 0]"
OCCUPATION_TYPE,category,31.44,"['Laborers', 'Core staff', 'Laborers']"
CNT_FAM_MEMBERS,float16,0.0,"[1.0, 2.0, 1.0]"
REGION_RATING_CLIENT,int8,0.0,"[2, 1, 2]"
REGION_RATING_CLIENT_W_CITY,int8,0.0,"[2, 1, 2]"
WEEKDAY_APPR_PROCESS_START,category,0.0,"['WEDNESDAY', 'MONDAY', 'MONDAY']"
HOUR_APPR_PROCESS_START,int8,0.0,"[10, 11, 9]"
REG_REGION_NOT_LIVE_REGION,int8,0.0,"[0, 0, 0]"
REG_REGION_NOT_WORK_REGION,int8,0.0,"[0, 0, 0]"
LIVE_REGION_NOT_WORK_REGION,int8,0.0,"[0, 0, 0]"
REG_CITY_NOT_LIVE_CITY,int8,0.0,"[0, 0, 0]"
REG_CITY_NOT_WORK_CITY,int8,0.0,"[0, 0, 0]"
LIVE_CITY_NOT_WORK_CITY,int8,0.0,"[0, 0, 0]"
ORGANIZATION_TYPE,category,0.0,"['Business Entity Type 3', 'School', 'Government']"
EXT_SOURCE_1,float16,54.43,"[0.0830078125, 0.311279296875, 0.77490234375]"
EXT_SOURCE_2,float16,0.19,"[0.262939453125, 0.6220703125, 0.55615234375]"
EXT_SOURCE_3,float16,19.55,"[0.139404296875, 0.7294921875, 0.62109375]"
APARTMENTS_AVG,float16,50.51,"[0.0247039794921875, 0.09588623046875, 0.08251953125]"
BASEMENTAREA_AVG,float16,58.27,"[0.036895751953125, 0.052886962890625, 0.0972900390625]"
YEARS_BEGINEXPLUATATION_AVG,float16,48.52,"[0.97216796875, 0.98486328125, 0.98095703125]"
YEARS_BUILD_AVG,float16,66.33,"[0.619140625, 0.7958984375, 0.73486328125]"
COMMONAREA_AVG,float16,69.71,"[0.0142974853515625, 0.06048583984375, 0.058197021484375]"
ELEVATORS_AVG,float16,53.07,"[0.0, 0.08001708984375, 0.0]"
ENTRANCES_AVG,float16,50.08,"[0.0689697265625, 0.03448486328125, 0.2069091796875]"
FLOORSMAX_AVG,float16,49.5,"[0.08331298828125, 0.291748046875, 0.166748046875]"
FLOORSMIN_AVG,float16,67.68,"[0.125, 0.333251953125, 0.375]"
LANDAREA_AVG,float16,59.18,"[0.036895751953125, 0.01300048828125, 0.01349639892578125]"
LIVINGAPARTMENTS_AVG,float16,68.2,"[0.02020263671875, 0.0772705078125, 0.12017822265625]"
LIVINGAREA_AVG,float16,49.94,"[0.0189971923828125, 0.054901123046875, 0.07781982421875]"
NONLIVINGAPARTMENTS_AVG,float16,69.29,"[0.0, 0.0039005279541015625, 0.0]"
NONLIVINGAREA_AVG,float16,54.95,"[0.0, 0.00980377197265625, 0.0]"
APARTMENTS_MODE,float16,50.51,"[0.02520751953125, 0.0924072265625, 0.083984375]"
BASEMENTAREA_MODE,float16,58.27,"[0.038299560546875, 0.053802490234375, 0.10101318359375]"
YEARS_BEGINEXPLUATATION_MODE,float16,48.52,"[0.97216796875, 0.98486328125, 0.98095703125]"
YEARS_BUILD_MODE,float16,66.33,"[0.63427734375, 0.80419921875, 0.7451171875]"
COMMONAREA_MODE,float16,69.71,"[0.01439666748046875, 0.049713134765625, 0.058685302734375]"
ELEVATORS_MODE,float16,53.07,"[0.0, 0.08062744140625, 0.0]"
ENTRANCES_MODE,float16,50.08,"[0.0689697265625, 0.03448486328125, 0.2069091796875]"
FLOORSMAX_MODE,float16,49.5,"[0.08331298828125, 0.291748046875, 0.166748046875]"
FLOORSMIN_MODE,float16,67.68,"[0.125, 0.333251953125, 0.375]"
LANDAREA_MODE,float16,59.18,"[0.037689208984375, 0.0128021240234375, 0.01380157470703125]"
LIVINGAPARTMENTS_MODE,float16,68.2,"[0.022003173828125, 0.0789794921875, 0.13134765625]"
LIVINGAREA_MODE,float16,49.94,"[0.019805908203125, 0.055389404296875, 0.08099365234375]"
NONLIVINGAPARTMENTS_MODE,float16,69.29,"[0.0, 0.0, 0.0]"
NONLIVINGAREA_MODE,float16,54.95,"[0.0, 0.0, 0.0]"
APARTMENTS_MEDI,float16,50.51,"[0.024993896484375, 0.0968017578125, 0.08331298828125]"
BASEMENTAREA_MEDI,float16,58.27,"[0.036895751953125, 0.052886962890625, 0.0972900390625]"
YEARS_BEGINEXPLUATATION_MEDI,float16,48.52,"[0.97216796875, 0.98486328125, 0.98095703125]"
YEARS_BUILD_MEDI,float16,66.33,"[0.62451171875, 0.798828125, 0.73828125]"
COMMONAREA_MEDI,float16,69.71,"[0.01439666748046875, 0.060791015625, 0.058502197265625]"
ELEVATORS_MEDI,float16,53.07,"[0.0, 0.08001708984375, 0.0]"
ENTRANCES_MEDI,float16,50.08,"[0.0689697265625, 0.03448486328125, 0.2069091796875]"
FLOORSMAX_MEDI,float16,49.5,"[0.08331298828125, 0.291748046875, 0.166748046875]"
FLOORSMIN_MEDI,float16,67.68,"[0.125, 0.333251953125, 0.375]"
LANDAREA_MEDI,float16,59.18,"[0.037506103515625, 0.0131988525390625, 0.013702392578125]"
LIVINGAPARTMENTS_MEDI,float16,68.2,"[0.0204925537109375, 0.07867431640625, 0.122314453125]"
LIVINGAREA_MEDI,float16,49.94,"[0.0193023681640625, 0.0557861328125, 0.0792236328125]"
NONLIVINGAPARTMENTS_MEDI,float16,69.29,"[0.0, 0.0039005279541015625, 0.0]"
NONLIVINGAREA_MEDI,float16,54.95,"[0.0, 0.01000213623046875, 0.0]"
FONDKAPREMONT_MODE,category,68.24,"['reg oper account', 'reg oper account', 'reg oper account']"
HOUSETYPE_MODE,category,49.94,"['block of flats', 'block of flats', 'block of flats']"
TOTALAREA_MODE,float16,48.01,"[0.01490020751953125, 0.0714111328125, 0.061187744140625]"
WALLSMATERIAL_MODE,category,50.59,"['Stone, brick', 'Block', 'Panel']"
EMERGENCYSTATE_MODE,category,47.15,"['No', 'No', 'No']"
OBS_30_CNT_SOCIAL_CIRCLE,float16,0.29,"[2.0, 1.0, 0.0]"
DEF_30_CNT_SOCIAL_CIRCLE,float16,0.29,"[2.0, 0.0, 0.0]"
OBS_60_CNT_SOCIAL_CIRCLE,float16,0.29,"[2.0, 1.0, 0.0]"
DEF_60_CNT_SOCIAL_CIRCLE,float16,0.29,"[2.0, 0.0, 0.0]"
DAYS_LAST_PHONE_CHANGE,float16,0.0,"[-1134.0, -828.0, -815.0]"
FLAG_DOCUMENT_2,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_3,int8,0.0,"[1, 1, 0]"
FLAG_DOCUMENT_4,int8,0.0,"[0, 0, 0]"
FLAG_DOCUMENT_5,int8,0.0,"[0, 0, 0]"
